ID,Name,Team,Position,Availability,Selection,EA_Index,Price
147,Kevin Mirallas,Everton,Midfielder,100,2.0,272,7.2
148,James McCarthy,Everton,Midfielder,100,1.4,371,4.6
149,Aiden McGeady,Everton,Midfielder,100,1.0,113,5.3
150,Ryan Ledson,Everton,Midfielder,,0.0,0,4.3
151,Gareth Barry,Everton,Midfielder,100,1.6,377,4.7
152,Steven Naismith,Everton,Forward,100,10.8,381,4.7
153,Arouna Koné,Everton,Forward,100,0.1,115,5.4
154,Conor McAleny,Everton,Forward,0,0.1,0,4.3
155,Allan McGregor,Hull,Goalkeeper,100,2.3,208,4.7
156,Steve Harper,Hull,Goalkeeper,100,0.2,88,4.4
157,Liam Rosenior,Hull,Defender,100,0.3,75,4.1
158,James Chester,Hull,Defender,100,2.5,231,4.3
159,Paul McShane,Hull,Defender,100,2.4,177,3.9
160,Joe Dudgeon,Hull,Defender,100,0.0,0,3.9
161,Alex Bruce,Hull,Defender,100,10.9,163,4.0
162,Maynor Figueroa,Hull,Defender,100,0.4,7,4.1
163,Curtis Davies,Hull,Defender,100,1.7,159,4.7
164,Stephen Quinn,Hull,Midfielder,100,0.7,221,4.4
165,Robbie Brady,Hull,Midfielder,100,0.2,255,4.4
166,David Meyler,Hull,Midfielder,100,0.1,187,4.7
167,Ahmed Elmohamady,Hull,Midfielder,100,2.4,463,5.0
168,George Boyd,Burnley,Midfielder,,6.2,385,4.5
169,Tom Huddlestone,Hull,Midfielder,100,1.2,283,5.3
170,Jake Livermore,Hull,Midfielder,0,0.5,305,5.1
171,Sone Aluko,Hull,Midfielder,100,0.1,164,4.4
172,Tom Ince,Hull,Midfielder,0,0.5,44,5.0
173,Robert Snodgrass,Hull,Midfielder,100,0.3,7,5.6
174,Nikica Jelavic,Hull,Forward,100,1.1,225,5.6
175,Nick Proschwitz,Hull,Forward,0,0.0,0,4.5
176,Shane Long,Southampton,Forward,100,1.4,327,5.4
177,Yannick Sagbo,Hull,Forward,100,0.0,6,4.9
178,Kasper Schmeichel,Leicester,Goalkeeper,100,4.9,249,4.5
179,Ben Hamer,Leicester,Goalkeeper,100,6.8,76,4.0
180,Wes Morgan,Leicester,Defender,100,3.2,445,4.6
