Name,Team,Mins,Goals,Assists,Bonus Points,Total Points,P90
Luke Daniels,West Brom,12,0,0,0,1,7.5
Gabriel Tamas,West Brom,0,0,0,0,0,n/a
George Thorne,West Brom,0,0,0,0,0,n/a
Lee Camp,West Brom,0,0,0,0,0,n/a
Donervon Daniels,West Brom,0,0,0,0,0,n/a
Kemar Roofe,West Brom,0,0,0,0,0,n/a
Kevin Nolan,West Ham,2676,7,7,12,131,4.405829596
Mark Noble,West Ham,3340,3,6,12,125,3.368263473
Guy Demel,West Ham,2635,1,1,8,112,3.825426945
Mohamed Diamé,West Ham,2478,4,3,5,99,3.595641646
Jussi Jääskeläinen,West Ham,1620,0,1,8,88,4.888888889
James Tomkins,West Ham,2597,0,0,3,87,3.015017328
Matthew Jarvis,West Ham,1942,2,4,0,86,3.985581874
Stewart Downing,West Ham,2507,1,2,2,85,3.051455923
Adrián San Miguel del Castillo,West Ham,1800,0,0,6,83,4.15
James Collins,West Ham,1898,1,0,8,80,3.793466807
Winston Reid,West Ham,1678,1,0,5,71,3.808104887
Carlton Cole,West Ham,859,5,2,8,63,6.600698487
George McCartney,West Ham,1842,0,0,5,62,3.029315961
Ravel Morrison,West Ham,1154,3,2,3,52,4.055459272
Andy Carroll,West Ham,1090,2,5,5,52,4.293577982
Joe Cole,West Ham,749,3,0,3,43,5.166889186
Joey O'Brien,West Ham,1237,0,0,1,39,2.837510105
Matthew Taylor,West Ham,1412,0,0,0,39,2.485835694
Modibo Maiga,West Ham,1004,1,2,2,36,3.227091633
Razvan Rat,West Ham,1134,0,0,0,34,2.698412698
Ricardo Vaz Te,West Ham,258,2,0,1,19,6.627906977
Jack Collison,West Ham,462,0,0,0,16,3.116883117
Antonio Nocerino,West Ham,261,0,1,0,12,4.137931034
Roger Johnson,West Ham,274,0,0,0,9,2.95620438
Pablo Armero,West Ham,323,0,0,0,5,1.393188854
Alou Diarra,West Ham,114,0,0,0,3,2.368421053
Mladen Petric,West Ham,68,0,0,0,3,3.970588235
Marco Borriello,West Ham,90,0,0,0,2,2
Elliot Lee,West Ham,3,0,0,0,1,30
Abdul Razak,West Ham,0,0,0,0,0,n/a
Stephen Henderson,West Ham,0,0,0,0,0,n/a
Daniel Potts,West Ham,0,0,0,0,0,n/a
Jordan Spence,West Ham,0,0,0,0,0,n/a
Robert Hall,West Ham,0,0,0,0,0,n/a
Leo Chambers,West Ham,0,0,0,0,0,n/a
